size..,cost..,size,Effort
113,2040,0.096705632,0.178522218
293,1600,0.253497326,0.139905741
132,243,0.113255867,0.020809015
60,240,0.050539189,0.020545721
16,33,0.012212331,0.002378424
4,43,0.001759551,0.003256071
6.9,8,0.00428564,0.000184306
22,1075,0.017438721,0.093829263
30,423,0.02440724,0.036660666
29,321,0.023536175,0.027654663
32,218,0.02614937,0.018614897
37,201,0.030504695,0.017122897
25,79,0.020051915,0.006415606
3,60,0.000888486,0.004748071
3.9,61,0.001672445,0.004835836
6.1,40,0.003588788,0.002992777
3.6,9,0.001411125,0.000272071
320,11400,0.27701608,1
1150,6600,1,0.578729342
299,6400,0.232591767,0.561172931
252,2455,0.217783662,0.219445766
118,724,0.101060957,0.063023846
77,539,0.065347294,0.046787372
90,453,0.076671138,0.039239606
38,523,0.03137576,0.045383137
48,387,0.04008641,0.033447135
9.4,88,0.006463302,0.007205484
13,98,0.009599136,0.008083131
2.14,7.3,0.00013937,0.000122871
1.98,5.9,0,0
62,1063,0.052281319,0.092776086
390,702,0.337990627,0.061093022
42,605,0.03486002,0.052579844
23,230,0.018309786,0.019668074
12,82,0.008728071,0.066788952
15,55,0.011341266,0.004309248
60,47,0.050539189,0.00360713
15,12,0.011341266,0.000535365
6.2,8,0.003675894,0.000184306
3,8,0.000888486,0.000184306
5.3,6,0.002891936,8.78E-06
45.5,45,0.037908747,0.003431601
28.6,83,0.023187749,0.00676666
30.6,87,0.024929879,0.007117118
35,106,0.028762565,0.008785249
73,126,0.061863034,0.010540543
23,36,0.018309786,0.002641718
464,1272,0.402443435,0.111118912
91,156,0.077542203,0.013173485
24,176,0.019180851,0.014928779
10,122,0.00695941,0.010189484
8.2,41,0.005418024,0.003080542
5.3,14,0.002891936,0.000710894
4.4,20,0.002107977,0.001237483
6.3,18,0.003763001,0.001061953
27,958,0.021734045,0.08356079
17,237,0.013083396,0.020282427
25,130,0.020051915,0.010891602
23,70,0.018309786,0.005628719
6.7,57,0.004111427,0.004484777
28,50,0.02266511,0.003870424
9.1,38,0.006201983,0.002817242
10,15,0.006985941,0.000798659
