SIZE,size,EFFORT,Effort
90.2,0.89260385,115.8,0.831207802
46.2,0.446808511,96,0.682670668
46.5,0.449848024,79,0.555138785
54.5,0.530961722,90.8,0.643660915
31.2,0.293819656,39.6,0.259564891
67.5,0.662613982,98.4,0.700675169
12.8,0.108409321,18.9,0.104276069
10.5,0.085106383,10.3,0.03975994
21.5,0.196555218,28.5,0.176294074
3.1,0.010131712,7,0.015003751
4.2,0.021276596,9,0.030007502
7.8,0.05775076,7.3,0.017293233
2.1,0,5,0
5,0.029381966,8.4,0.025506377
78.6,0.775075988,98.7,0.702925731
9.7,0.077001013,15.6,0.07951888
12.5,0.105369807,23.9,0.141785446
100.8,1,138.3,1
